foldername,label
000/P01_01_00_0,0
000/P02_01_00_0,0
000/P03_01_00_0,0
000/P04_01_00_0,0
000/P05_01_00_0,0
000/P06_01_00_0,0
000/P07_01_00_0,0
000/P08_01_00_0,0
000/P09_01_00_0,0
000/P10_01_00_0,0
000/P11_01_00_0,0
000/P12_01_00_0,0
000/P13_01_00_0,0
000/P14_01_00_0,0
000/P15_01_00_0,0
000/P16_01_00_0,0
000/P17_01_00_0,0
000/P18_01_00_0,0
000/P19_01_00_0,0
000/P20_01_00_0,0
000/P21_01_00_0,0
000/P22_01_00_0,0
000/P23_01_00_0,0
000/P24_01_00_0,0
000/P25_01_00_0,0
000/P26_01_00_0,0
000/P27_01_00_0,0
000/P28_01_00_0,0
000/P29_01_00_0,0
000/P30_01_00_0,0
000/P31_01_00_0,0
000/P32_01_00_0,0
000/P33_01_00_0,0
000/P34_01_00_0,0
000/P35_01_00_0,0
000/P36_01_00_0,0
001/P01_01_01_0,1
001/P02_01_01_0,1
001/P03_01_01_0,1
001/P04_01_01_0,1
001/P05_01_01_0,1
001/P06_01_01_0,1
001/P07_01_01_0,1
001/P08_01_01_0,1
001/P09_01_01_0,1
001/P10_01_01_0,1
001/P11_01_01_0,1
001/P12_01_01_0,1
001/P13_01_01_0,1
001/P14_01_01_0,1
001/P15_01_01_0,1
001/P16_01_01_0,1
001/P17_01_01_0,1
001/P18_01_01_0,1
001/P19_01_01_0,1
001/P20_01_01_0,1
001/P21_01_01_0,1
001/P22_01_01_0,1
001/P23_01_01_0,1
001/P24_01_01_0,1
001/P25_01_01_0,1
001/P26_01_01_0,1
001/P27_01_01_0,1
001/P28_01_01_0,1
001/P29_01_01_0,1
001/P30_01_01_0,1
001/P31_01_01_0,1
001/P32_01_01_0,1
001/P33_01_01_0,1
001/P34_01_01_0,1
001/P35_01_01_0,1
001/P36_01_01_0,1
002/P01_01_02_0,2
002/P02_01_02_0,2
002/P03_01_02_0,2
002/P04_01_02_0,2
002/P05_01_02_0,2
002/P06_01_02_0,2
002/P07_01_02_0,2
002/P08_01_02_0,2
002/P09_01_02_0,2
002/P10_01_02_0,2
002/P11_01_02_0,2
002/P12_01_02_0,2
002/P13_01_02_0,2
002/P14_01_02_0,2
002/P15_01_02_0,2
002/P16_01_02_0,2
002/P17_01_02_0,2
002/P18_01_02_0,2
002/P19_01_02_0,2
002/P20_01_02_0,2
002/P21_01_02_0,2
002/P22_01_02_0,2
002/P23_01_02_0,2
002/P24_01_02_0,2
002/P25_01_02_0,2
002/P26_01_02_0,2
002/P27_01_02_0,2
002/P28_01_02_0,2
002/P29_01_02_0,2
002/P30_01_02_0,2
002/P31_01_02_0,2
002/P32_01_02_0,2
002/P33_01_02_0,2
002/P34_01_02_0,2
002/P35_01_02_0,2
002/P36_01_02_0,2
003/P01_01_03_0,3
003/P02_01_03_0,3
003/P03_01_03_0,3
003/P04_01_03_0,3
003/P05_01_03_0,3
003/P06_01_03_0,3
003/P07_01_03_0,3
003/P08_01_03_0,3
003/P09_01_03_0,3
003/P10_01_03_0,3
003/P11_01_03_0,3
003/P12_01_03_0,3
003/P13_01_03_0,3
003/P14_01_03_0,3
003/P15_01_03_0,3
003/P16_01_03_0,3
003/P17_01_03_0,3
003/P18_01_03_0,3
003/P19_01_03_0,3
003/P20_01_03_0,3
003/P21_01_03_0,3
003/P22_01_03_0,3
003/P23_01_03_0,3
003/P24_01_03_0,3
003/P25_01_03_0,3
003/P26_01_03_0,3
003/P27_01_03_0,3
003/P28_01_03_0,3
003/P29_01_03_0,3
003/P30_01_03_0,3
003/P31_01_03_0,3
003/P32_01_03_0,3
003/P33_01_03_0,3
003/P34_01_03_0,3
003/P35_01_03_0,3
003/P36_01_03_0,3
004/P01_01_04_0,4
004/P02_01_04_0,4
004/P03_01_04_0,4
004/P04_01_04_0,4
004/P05_01_04_0,4
004/P06_01_04_0,4
004/P07_01_04_0,4
004/P08_01_04_0,4
004/P09_01_04_0,4
004/P10_01_04_0,4
004/P11_01_04_0,4
004/P12_01_04_0,4
004/P13_01_04_0,4
004/P14_01_04_0,4
004/P15_01_04_0,4
004/P16_01_04_0,4
004/P17_01_04_0,4
004/P18_01_04_0,4
004/P19_01_04_0,4
004/P20_01_04_0,4
004/P21_01_04_0,4
004/P22_01_04_0,4
004/P23_01_04_0,4
