foldername,label
000/P01_01_00_0,0
000/P01_01_00_1,0
000/P01_01_00_2,0
000/P01_01_00_3,0
000/P01_01_00_4,0
000/P02_01_00_0,0
000/P02_01_00_1,0
000/P02_01_00_2,0
000/P02_01_00_3,0
000/P02_01_00_4,0
000/P03_01_00_0,0
000/P03_01_00_1,0
000/P03_01_00_2,0
000/P03_01_00_3,0
000/P03_01_00_4,0
000/P04_01_00_0,0
000/P04_01_00_1,0
000/P04_01_00_2,0
000/P04_01_00_3,0
000/P04_01_00_4,0
000/P05_01_00_0,0
000/P05_01_00_1,0
000/P05_01_00_2,0
000/P05_01_00_3,0
000/P05_01_00_4,0
000/P06_01_00_0,0
000/P06_01_00_1,0
000/P06_01_00_2,0
000/P06_01_00_3,0
000/P06_01_00_4,0
000/P07_01_00_0,0
000/P07_01_00_1,0
000/P07_01_00_2,0
000/P07_01_00_3,0
000/P07_01_00_4,0
000/P08_01_00_0,0
000/P08_01_00_1,0
000/P08_01_00_2,0
000/P08_01_00_3,0
000/P08_01_00_4,0
000/P09_01_00_0,0
000/P09_01_00_1,0
000/P09_01_00_2,0
000/P09_01_00_3,0
000/P09_01_00_4,0
000/P10_01_00_0,0
000/P10_01_00_1,0
000/P10_01_00_2,0
000/P10_01_00_3,0
000/P10_01_00_4,0
000/P11_01_00_0,0
000/P11_01_00_1,0
000/P11_01_00_2,0
000/P11_01_00_3,0
000/P11_01_00_4,0
000/P12_01_00_0,0
000/P12_01_00_1,0
000/P12_01_00_2,0
000/P12_01_00_3,0
000/P12_01_00_4,0
000/P13_01_00_0,0
000/P13_01_00_1,0
000/P13_01_00_2,0
000/P13_01_00_3,0
000/P13_01_00_4,0
000/P14_01_00_0,0
000/P14_01_00_1,0
000/P14_01_00_2,0
000/P14_01_00_3,0
000/P14_01_00_4,0
000/P15_01_00_0,0
000/P15_01_00_1,0
000/P15_01_00_2,0
000/P15_01_00_3,0
000/P15_01_00_4,0
000/P16_01_00_0,0
000/P16_01_00_1,0
000/P16_01_00_2,0
000/P16_01_00_3,0
000/P16_01_00_4,0
000/P17_01_00_0,0
000/P17_01_00_1,0
000/P17_01_00_2,0
000/P17_01_00_3,0
000/P17_01_00_4,0
000/P18_01_00_0,0
000/P18_01_00_1,0
000/P18_01_00_2,0
000/P18_01_00_3,0
000/P18_01_00_4,0
000/P19_01_00_0,0
000/P19_01_00_1,0
000/P19_01_00_2,0
000/P19_01_00_3,0
000/P19_01_00_4,0
000/P20_01_00_0,0
000/P20_01_00_1,0
000/P20_01_00_2,0
000/P20_01_00_3,0
000/P20_01_00_4,0
000/P21_01_00_0,0
000/P21_01_00_1,0
000/P21_01_00_2,0
000/P21_01_00_3,0
000/P21_01_00_4,0
000/P22_01_00_0,0
000/P22_01_00_1,0
000/P22_01_00_2,0
000/P22_01_00_3,0
000/P22_01_00_4,0
000/P23_01_00_0,0
000/P23_01_00_1,0
000/P23_01_00_2,0
000/P23_01_00_3,0
000/P23_01_00_4,0
000/P24_01_00_0,0
000/P24_01_00_1,0
000/P24_01_00_2,0
000/P24_01_00_3,0
000/P24_01_00_4,0
000/P25_01_00_0,0
000/P25_01_00_1,0
000/P25_01_00_2,0
000/P25_01_00_3,0
000/P25_01_00_4,0
000/P26_01_00_0,0
000/P26_01_00_1,0
000/P26_01_00_2,0
000/P26_01_00_3,0
000/P26_01_00_4,0
000/P27_01_00_0,0
000/P27_01_00_1,0
000/P27_01_00_2,0
000/P27_01_00_3,0
000/P27_01_00_4,0
000/P28_01_00_0,0
000/P28_01_00_1,0
000/P28_01_00_2,0
000/P28_01_00_3,0
000/P28_01_00_4,0
000/P29_01_00_0,0
000/P29_01_00_1,0
000/P29_01_00_2,0
000/P29_01_00_3,0
000/P29_01_00_4,0
000/P30_01_00_0,0
000/P30_01_00_1,0
000/P30_01_00_2,0
000/P30_01_00_3,0
000/P30_01_00_4,0
000/P31_01_00_0,0
000/P31_01_00_1,0
000/P31_01_00_2,0
000/P31_01_00_3,0
000/P31_01_00_4,0
000/P32_01_00_0,0
000/P32_01_00_1,0
000/P32_01_00_2,0
000/P32_01_00_3,0
000/P32_01_00_4,0
000/P33_01_00_0,0
000/P33_01_00_1,0
000/P33_01_00_2,0
000/P33_01_00_3,0
000/P33_01_00_4,0
000/P34_01_00_0,0
000/P34_01_00_1,0
000/P34_01_00_2,0
000/P34_01_00_3,0
000/P34_01_00_4,0
000/P35_01_00_0,0
000/P35_01_00_1,0
000/P35_01_00_2,0
000/P35_01_00_3,0
000/P35_01_00_4,0
000/P36_01_00_0,0
000/P36_01_00_1,0
000/P36_01_00_2,0
